id,type,value,user_id,created_at,updated_at
1,"Theory score",1,114,"2019-08-29 04:22:32","2019-08-29 04:23:02"
2,"Practice score",6,87,"2019-08-29 07:17:24","2019-08-29 07:17:24"
3,"Practice score",7,55,"2019-08-29 07:19:02","2019-08-29 07:19:02"
4,"Practice score",6,53,"2019-08-29 07:19:24","2019-08-29 07:19:24"
5,"Practice score",7,53,"2019-08-29 07:19:38","2019-08-29 07:19:38"
6,"Practice score",6,50,"2019-08-29 07:21:13","2019-08-29 07:21:13"
7,"Practice score",7,50,"2019-08-29 07:21:19","2019-08-29 07:21:19"
8,"Practice score",7,50,"2019-08-29 07:21:32","2019-08-29 07:21:32"
9,"Theory score",6,47,"2019-08-29 07:22:22","2019-08-29 07:22:22"
10,"Practice score",6,47,"2019-08-29 07:22:44","2019-08-29 07:22:44"
11,"Practice score",6,47,"2019-08-29 07:22:55","2019-08-29 07:22:55"
12,"Practice score",6,47,"2019-08-29 07:23:00","2019-08-29 07:23:00"
